dog_name,gender,n
Texas,M,5
Tico,M,5
Tim,M,5
TIMBER,M,5
Toshi,M,5
Trey,M,5
Tristan,M,5
Tuck,M,5
Tully,M,5
Tux,M,5
TUZIK,M,5
Two,M,5
Webster,M,5
Westley,M,5
Will,M,5
Winslow,M,5
Wookie,M,5
Xiao,M,5
Yayo,M,5
Zak,M,5
Zippy,M,5
Zulu,M,5
Aidan,M,4
Alan,M,4
Aldo,M,4
Amos,M,4
Anubis,M,4
Arrow,M,4
Ash,M,4
Asta,M,4
Aston,M,4
Avery,M,4
Bacchus,M,4
Bamboo,M,4
BAUER,M,4
Bello,M,4
Benz,M,4
Berkley,M,4
Berry,M,4
Bianco,M,4
Bim,M,4
Bixby,M,4
Boby,M,4
Bono,M,4
Booker,M,4
Boscoe,M,4
Bravo,M,4
Brighton,M,4
Brinks,M,4
Bubble,M,4
Bubu,M,4
Budha,M,4
Bugzy,M,4
Butterscotch,M,4
Byson,M,4
Canelo,M,4
Cappy,M,4
Caramelo,M,4
Chaplin,M,4
CHARCOAL,M,4
Charlee,M,4
Chazz,M,4
Choo,M,4
Chucho,M,4
Chumley,M,4
Clinton,M,4
Colonel,M,4
Corey,M,4
Cricket,M,4
Crosby,M,4
Czar,M,4
Dalton,M,4
David,M,4
Dee,M,4
DeNiro,M,4
Dennis,M,4
Derby,M,4
Diddy,M,4
Dinky,M,4
Dior,M,4
Donut,M,4
DOOGIE,M,4
Dou,M,4
Douglas,M,4
Dublin,M,4
Duff,M,4
Easy,M,4
El,M,4
Emmit,M,4
Ernest,M,4
Eros,M,4
Farley,M,4
Ferdinand,M,4
Fido,M,4
Finbar,M,4
Flex,M,4
Flounder,M,4
Fonzie,M,4
Fozzie,M,4
Francis,M,4
Frankenstein,M,4
Franz,M,4
Freeway,M,4
Frodo,M,4
Fuji,M,4
Gavin,M,4
Geo,M,4
Gibson,M,4
Graham,M,4
Gringo,M,4
Grizzly,M,4
Grumpy,M,4
Haggis,M,4
Hans,M,4
Hardy,M,4
Harlan,M,4
Hemingway,M,4
Hooper,M,4
Houston,M,4
HUCK,M,4
Huey,M,4
Hulk,M,4
Husky,M,4
Huxley,M,4
Indigo,M,4
Jack-Jack,M,4
Jackpot,M,4
Jaden,M,4
Jak,M,4
Jayden,M,4
Jed,M,4
Jersey,M,4
Jester,M,4
Jin,M,4
Jingle,M,4
Joe-Joe,M,4
Johnnie,M,4
JP,M,4
Julian,M,4
Kahlua,M,4
Kanye,M,4
Kelev,M,4
Kelsey,M,4
KENO,M,4
Kesha,M,4
KOA,M,4
Kratos,M,4
Le,M,4
Legend,M,4
Lilo,M,4
Loco,M,4
Loui,M,4
Love,M,4
Ludo,M,4
Luis,M,4
Machito,M,4
Mackenzie,M,4
Maddox,M,4
Magoo,M,4
Majesty,M,4
MALISH,M,4
Marble,M,4
Marc,M,4
Marlo,M,4
Marlon,M,4
Martini,M,4
Masik,M,4
Massimo,M,4
Mattingly,M,4
Maxamillion,M,4
McDuff,M,4
Micah,M,4
Milky,M,4
Miller,M,4
Mini,M,4
Misiu,M,4
MJ,M,4
Monster,M,4
Moo,M,4
Mosley,M,4
Mousse,M,4
Mulligan,M,4
Munson,M,4
Nibbler,M,4
Nicco,M,4
Nipper,M,4
Nixon,M,4
Nori,M,4
Othello,M,4
Pax,M,4
PEETY,M,4
Peppino,M,4
Perseus,M,4
Pharaoh,M,4
Phineas,M,4
Pickle,M,4
Pickles,M,4
PISCO,M,4
Pit,M,4
POGO,M,4
Pop,M,4
Poppa,M,4
Poppi,M,4
Presley,M,4
Pucho,M,4
Puchy,M,4
Radley,M,4
Rafa,M,4
Rajah,M,4
Ralphy,M,4
Reagan,M,4
Remus,M,4
Reno,M,4
Rich,M,4
Richard,M,4
Rockstar,M,4
Rookie,M,4
Ross,M,4
Russel,M,4
Sabastian,M,4
Saber,M,4
Sacha,M,4
Sal,M,4
Salvador,M,4
Samy,M,4
Sancho,M,4
Santa,M,4
Satchmo,M,4
Scamp,M,4
Schnitzel,M,4
Scotch,M,4
Serge,M,4
Shaka,M,4
Shakespeare,M,4
Shamrock,M,4
Shay,M,4
Sheldon,M,4
Shep,M,4
Shogun,M,4
Shortie,M,4
Sigmund,M,4
SISCO,M,4
Six,M,4
Smokie,M,4
Smoochie,M,4
Solomon,M,4
Sport,M,4
Steel,M,4
Sterling,M,4
Strider,M,4
Suki,M,4
Sullivan,M,4
Sweet,M,4
Symba,M,4
Tai,M,4
Tai-Chi,M,4
Tao,M,4
TED,M,4
Tequila,M,4
Thumper,M,4
THURMAN,M,4
Tiko,M,4
Toki,M,4
Truffles,M,4
Tubby,M,4
Tuco,M,4
Tug,M,4
Turk,M,4
Twinkie,M,4
Tye,M,4
Tyke,M,4
Ulysses,M,4
Uncle,M,4
Warren,M,4
Wee,M,4
Wendell,M,4
Wiggles,M,4
Willoughby,M,4
Winnie,M,4
Wolf,M,4
Woofie,M,4
Yuki,M,4
Zipper,M,4
Abby,M,3
Abel,M,3
Abu,M,3
Adam,M,3
Adrian,M,3
Aero,M,3
Aiden,M,3
Aires,M,3
AL,M,3
Alejandro,M,3
ALF,M,3
Alfonso,M,3
Amadeus,M,3
Anakin,M,3
Apache,M,3
Aramis,M,3
Ashton,M,3
Atos,M,3
Axl,M,3
Azabache,M,3
Azor,M,3
Babaloo,M,3
Babie,M,3
Badger,M,3
BAMM,M,3
Barclay,M,3
Barnum,M,3
Bartholomew,M,3
Batista,M,3
Bayley,M,3
Beanz,M,3
Beast,M,3
Beastie,M,3
Becker,M,3
Beefy,M,3
Beemer,M,3
Bella,M,3
Bengie,M,3
Berkeley,M,3
BIGI,M,3
Billie,M,3
Bing,M,3
Birdie,M,3
Bisquit,M,3
Blaise,M,3
Blaky,M,3
Blinky,M,3
Bocce,M,3
BONE,M,3
Bonkers,M,3
Bonnie,M,3
Booda,M,3
Boudreaux,M,3
Boxer,M,3
Brisco,M,3
BROGAN,M,3
Bromley,M,3
Brown,M,3
Bryan,M,3
Bryce,M,3
Bubbles,M,3
